id,status_group
4152,non functional
4158,functional
4167,non functional
4175,functional needs repair
4177,non functional
4180,non functional
4189,non functional
4193,functional
4195,non functional
4196,functional
4201,non functional
4202,functional
4207,non functional
4210,functional
4213,non functional
4216,functional
4217,functional
4229,functional
4239,functional
4253,functional
4256,non functional
4261,functional
4263,functional
4268,functional
4272,non functional
4276,functional
4279,functional
4281,functional
4285,functional
4293,non functional
4294,functional
4298,functional
4309,non functional
4312,functional
4334,functional
4335,functional
4339,functional
4342,non functional
4347,functional
4350,functional
4352,non functional
4365,non functional
4370,functional
4371,functional
4375,functional
4376,functional needs repair
4378,non functional
4384,functional
4386,functional
4388,functional
4391,functional
4393,functional
4394,functional
4401,functional
4402,functional
4405,functional
4406,functional
4411,non functional
4415,non functional
4418,non functional
4419,functional
4422,functional
4426,non functional
4434,functional
4438,functional needs repair
4453,functional
4460,non functional
4461,functional
4468,functional
4482,non functional
4498,functional
4499,functional
4504,functional
4505,functional
4506,functional
4508,functional
4509,non functional
4513,functional
4515,functional
4518,functional
4519,non functional
4520,functional
4545,functional
4546,functional
4549,functional
4553,functional
4559,functional
4560,functional
4566,functional
4572,functional
4584,non functional
4588,functional
4589,non functional
4601,functional
4618,functional needs repair
4627,non functional
4640,non functional
4641,non functional
4655,non functional
4671,functional
4673,functional
4677,functional
4678,functional
4680,non functional
4682,functional
4689,functional
4690,functional
4691,non functional
4692,functional
4696,non functional
4698,functional
4705,non functional
4707,functional
4711,functional
4719,non functional
4728,functional
4736,non functional
4737,functional
4740,functional
4741,functional
4750,functional
4765,functional
4767,functional
4770,functional
4779,functional
4794,non functional
4797,non functional
4802,non functional
4803,functional
4814,functional
4818,non functional
4820,functional
4825,non functional
4832,functional
4838,functional
4843,non functional
4844,non functional
4852,functional
4855,functional needs repair
4867,non functional
4870,functional
4871,functional
4872,non functional
4887,functional
4891,non functional
4893,non functional
4901,functional
4911,functional
4917,non functional
4919,functional
4920,non functional
4929,functional
4932,non functional
4935,non functional
4936,functional
4940,functional
4943,non functional
4944,functional
4953,functional
4954,functional
4956,functional
4960,functional
4961,non functional
4967,non functional
4969,functional
4970,functional
4972,non functional
4979,functional
4984,non functional
4988,functional
4989,non functional
5001,functional
5012,functional
5020,functional
5024,non functional
5026,functional
5031,functional needs repair
5036,functional
5041,functional
5044,non functional
5046,functional
5050,functional
5051,non functional
5055,non functional
5059,functional
5068,non functional
5075,non functional
5082,functional
5092,non functional
5093,functional
5098,functional
5099,non functional
5101,functional
5109,non functional
5137,functional
5138,non functional
5141,functional needs repair
5142,functional
5143,functional
5151,functional
5156,non functional
5157,non functional
5166,non functional
5169,functional
5178,non functional
5181,functional
5186,non functional
5196,non functional
5197,functional
5200,non functional
5203,non functional
5210,functional
5217,functional
5221,functional
5222,functional
5232,functional
5236,functional
5237,functional
5243,functional
5245,non functional
5267,functional
5270,non functional
5274,functional
5281,functional
5285,non functional
5290,non functional
5300,functional
5306,non functional
5316,non functional
5326,functional
5328,functional
5345,functional
5349,functional
5358,non functional
5371,functional
5377,functional
5379,non functional
5382,functional
5383,non functional
5389,functional
5390,non functional
5394,non functional
5397,functional
5399,non functional
5405,functional needs repair
5406,functional
5411,functional
5430,functional
5439,functional
5443,non functional
5447,non functional
5448,non functional
5453,functional needs repair
5456,functional
5458,functional
5468,non functional
5470,functional needs repair
5480,non functional
5483,functional
5487,functional
5488,functional
5491,non functional
5494,non functional
5501,functional
5510,functional
5514,functional
5516,non functional
5522,functional
5526,functional
5527,functional
5529,non functional
5531,functional
5532,non functional
5547,functional
5557,non functional
5560,non functional
5566,functional
5567,functional
5572,functional
5576,non functional
5577,functional
5586,non functional
5596,non functional
5604,non functional
5608,non functional
5620,functional
5632,non functional
5647,functional
5656,functional
5661,non functional
5664,functional
5667,functional
5673,non functional
5674,functional
5677,non functional
5682,functional
5686,functional
5704,functional
5706,non functional
5712,functional
5717,non functional
5747,non functional
5752,non functional
5756,non functional
5760,functional
5762,functional
5766,functional
5772,functional
5776,functional
5779,functional
5794,non functional
5795,functional
5807,non functional
5830,functional
5832,non functional
5833,functional
5836,functional
5843,functional
5849,non functional
5851,functional
5862,functional
5863,non functional
5867,non functional
5868,functional
5874,functional
5886,non functional
5887,non functional
5889,functional
5891,functional
5901,non functional
5903,functional
5919,functional
5925,non functional
5928,functional
5930,functional
5934,non functional
5936,functional
5937,functional
5948,non functional
5951,functional
5982,functional
5984,functional
5993,functional
6000,functional
6008,functional
6024,non functional
6030,functional
6042,non functional
6045,non functional
6046,non functional
6049,non functional
6055,functional
6056,functional
6060,functional
6067,functional
6069,functional
6073,functional
6075,non functional
6078,functional
6079,functional
6080,non functional
6090,functional
6098,functional
6102,functional
6107,non functional
6111,functional
6112,functional
6132,non functional
6138,functional
6140,functional
6144,non functional
6148,functional
6151,functional
6153,non functional
6160,functional
6162,non functional
6166,functional
6167,functional
6168,functional
6177,non functional
6181,functional
6186,non functional
6189,functional
6210,functional
6211,functional
6212,non functional
6213,non functional
6222,functional
6232,functional
6238,functional
6242,non functional
6246,functional
6252,functional
6256,functional
6270,functional
6273,functional needs repair
6274,functional
6276,non functional
6277,non functional
6287,non functional
6294,functional
6300,non functional
6309,non functional
6311,non functional
6331,non functional
6333,functional
6346,functional
6351,non functional
6353,functional
6364,functional
6379,functional
6380,functional
6382,non functional
6393,non functional
6395,functional
6396,functional
6405,non functional
6407,non functional
6418,functional
6437,functional
6444,non functional
6446,non functional
6452,functional
6458,functional
6462,functional
6465,functional
6473,functional
6476,functional
6477,functional
6481,non functional
6490,functional
6491,functional
6492,non functional
6496,non functional
6500,functional
6505,non functional
6524,functional
6529,functional
6533,functional
6536,non functional
6540,functional
6542,non functional
6568,non functional
6573,functional
6582,non functional
6589,non functional
6596,functional
6597,functional
6607,functional
6608,non functional
6609,functional
6610,functional
6621,non functional
6625,functional
6638,functional
6645,non functional
6647,functional
6648,functional
6655,functional
6656,functional
6666,non functional
6668,functional
6669,functional
6677,non functional
6687,non functional
6688,functional
6689,non functional
6690,non functional
6708,functional
6709,functional
6713,functional
6719,non functional
6721,functional
6743,non functional
6745,non functional
6749,functional
6751,non functional
6752,functional
6754,functional
6771,functional
6774,functional
6783,functional
6789,functional
6796,functional
6799,non functional
6806,functional
6808,non functional
6810,functional
6819,functional
6820,non functional
6829,non functional
6832,functional
6843,functional
6847,functional
6857,functional
6867,functional
6876,non functional
6877,non functional
6880,non functional
6882,non functional
6885,non functional
6890,non functional
6895,non functional
6906,functional
6912,functional
6930,functional
6934,functional
6935,functional
6944,functional
6947,non functional
6953,functional
6962,functional
6965,functional
6966,functional needs repair
6973,non functional
6978,functional
6982,non functional
6987,functional
6992,functional
6996,functional
6997,functional
6998,non functional
7000,functional
7001,functional
7004,functional
7006,functional
7012,functional
7015,functional
7017,functional
7026,functional
7027,functional
7030,functional
7034,non functional
7041,non functional
7043,non functional
7060,non functional
7062,non functional
7063,functional
7066,non functional
7068,functional
7077,functional
7078,non functional
7081,non functional
7084,functional
7085,non functional
7088,non functional
7089,functional
7098,functional
7103,functional
7104,non functional
7111,non functional
7114,functional
7118,functional
7133,functional
7134,functional
7135,functional
7141,functional
7150,functional
7174,non functional
7177,functional
7178,non functional
7181,non functional
7191,functional
7193,functional
7200,non functional
7205,functional
7210,functional
7211,functional
7226,non functional
7228,functional
7231,functional
7233,non functional
7236,functional
7237,functional
7241,functional
7242,non functional
7244,non functional
7246,functional
7250,functional
7263,functional
7268,functional
7274,functional
7275,functional
7278,functional
7283,non functional
7291,functional
7293,functional
7298,non functional
7299,functional
7301,functional
7315,non functional
7318,functional
7323,functional
7333,non functional
7340,functional
7342,functional
7346,functional
7351,non functional
7353,functional
7357,functional
7380,functional
7382,non functional
7385,functional
7390,functional
7398,non functional
7399,functional
7400,functional
7409,non functional
7417,non functional
7421,functional
7422,functional
7424,non functional
7425,functional
7427,functional
7428,functional
7436,functional
7444,functional
7445,non functional
7448,non functional
7453,functional
7457,non functional
7462,functional
7465,functional
7466,functional
7471,functional
7475,functional
7487,functional
7494,functional
7495,functional
7497,functional
7498,functional
7504,functional
7514,non functional
7515,functional
7516,functional needs repair
7529,functional
7533,functional
7539,functional
7544,non functional
7545,functional
7546,functional
7551,functional
7562,functional
7565,non functional
7569,non functional
7573,non functional
7580,functional
7581,functional
7588,functional
7595,functional
7606,functional
7608,non functional
7616,functional
7622,non functional
7624,non functional
7638,non functional
7643,functional
7644,functional
7645,functional
7648,functional
7652,non functional
7672,functional
7680,non functional
7684,functional
7693,functional
7694,functional
7695,functional
7701,functional
7706,functional
7709,functional
7712,functional
7713,non functional
7718,functional
7719,functional
7723,non functional
7730,functional
7734,non functional
7736,functional
7738,functional
7741,functional
7747,functional needs repair
7760,functional
7762,non functional
7773,functional
7780,functional
7781,non functional
7802,functional
7806,non functional
7807,non functional
7810,functional
7812,functional
7818,non functional
7823,functional
7825,functional
7827,functional
7830,functional
7836,functional
7837,functional
7845,functional needs repair
7848,non functional
7849,non functional
7852,functional
7859,functional
7861,non functional
7865,non functional
7869,functional
7883,functional
7891,non functional
7892,functional
7899,non functional
7902,functional
7912,functional
7913,non functional
7914,non functional
7917,functional
7919,functional needs repair
7922,functional
7923,functional needs repair
7924,functional
7927,functional
7937,non functional
7940,functional
7948,non functional
7951,non functional
7954,functional
7955,non functional
7963,functional
7964,non functional
7967,non functional
7974,non functional
7975,non functional
7978,functional
7992,functional
8008,functional
8009,functional
8011,functional
8015,functional
8016,functional
8017,non functional
8024,non functional
8026,functional needs repair
8032,functional needs repair
8037,non functional
8051,non functional
8056,functional
8061,non functional
8068,non functional
8074,non functional
8089,functional
8094,non functional
8104,functional
8106,non functional
8108,functional
8112,functional needs repair
8121,non functional
8125,functional
8129,functional
8138,functional
8142,non functional
8149,functional needs repair
8151,functional
8155,functional
8162,non functional
8173,non functional
8176,functional
8183,non functional
8187,functional
8189,non functional
8193,functional
8195,functional
8207,functional
8210,non functional
8218,functional
8222,non functional
8227,non functional
8231,non functional
8234,functional
8235,non functional
8238,functional
8242,functional
8243,non functional
8246,functional
8249,functional
8261,non functional
8274,non functional
8279,functional
8305,functional
8307,non functional
8312,non functional
8313,functional
8314,non functional
8315,functional
8319,non functional
8320,functional
8321,functional
8323,non functional
8325,functional
8335,functional
8341,functional
8343,non functional
8351,non functional
8365,non functional
8369,non functional
8371,non functional
8378,non functional
8383,non functional
8389,functional
8402,non functional
8407,non functional
8410,functional
8414,non functional
8415,functional
8431,functional
8439,functional
8443,non functional
8449,non functional
8450,functional needs repair
8455,non functional
8462,functional
8463,functional
8471,non functional
8474,functional needs repair
8479,non functional
8480,functional
8482,functional
8486,functional
8489,non functional
8490,functional
8497,non functional
8500,functional
8503,non functional
8508,functional
8510,functional
8511,non functional
8514,functional
8519,non functional
8521,functional
8531,non functional
8540,functional
8541,functional
8542,functional
8543,functional
8544,functional
8549,functional
8557,functional
8558,non functional
8559,non functional
8560,functional
8563,non functional
8569,functional
8572,functional
8577,non functional
8586,non functional
8590,non functional
8593,functional
8596,functional
8601,non functional
8610,functional
8612,functional
8613,non functional
8617,functional
8625,functional
8629,non functional
8637,functional
8640,functional
8646,functional
8651,functional
8652,functional
8653,functional
8657,functional
8663,non functional
8668,functional
8670,non functional
8671,functional
8672,functional
8682,functional
8683,functional
8691,non functional
8693,non functional
8698,functional
8700,functional
8701,functional
8702,functional
8715,functional
8732,functional
8744,functional
8747,functional
8754,non functional
8755,non functional
8756,functional
8760,functional
8770,functional
8771,functional
8777,non functional
8778,non functional
8780,functional
8782,functional
8783,functional
8785,functional
8786,non functional
8787,non functional
8795,functional
8796,non functional
8801,non functional
8807,functional
8809,functional
8812,functional
8816,functional needs repair
8821,functional
8822,functional
8831,functional
8835,functional
8850,non functional
8854,functional
8859,functional
8860,functional
8863,functional
8864,functional
8869,functional
8876,functional
8890,functional
8897,non functional
8903,functional
8913,functional
8930,functional
8939,functional
8950,non functional
8964,functional
8968,functional
8986,functional
9002,non functional
9003,non functional
9008,functional
9018,non functional
9024,non functional
9028,non functional
9031,functional
9042,functional
9044,functional
9045,non functional
9048,non functional
9050,functional
9054,functional
9055,functional
9064,non functional
9067,non functional
9075,non functional
9086,non functional
9092,functional
9097,functional
9099,non functional
9102,functional
9111,functional
9113,non functional
9118,functional
9120,functional
9122,non functional
9125,non functional
9126,non functional
9138,functional
9140,functional
9148,functional
9150,non functional
9157,functional
9174,functional
9175,non functional
9185,functional
9205,non functional
9207,non functional
9209,non functional
9212,non functional
9213,functional
9214,non functional
9215,non functional
9216,non functional
9218,non functional
9231,functional
9239,non functional
9243,functional
9250,functional
9261,functional
9263,functional
9268,functional
9278,functional
9282,non functional
9288,functional
9295,functional
9296,non functional
9299,functional
9305,functional
9312,functional
9315,functional
9316,functional
9321,functional
9326,functional
9327,functional
9328,non functional
9331,non functional
9332,functional
9333,functional
9336,functional
9356,non functional
9360,non functional
9361,non functional
9364,functional
9370,functional
9373,non functional
9379,non functional
9380,non functional
9381,functional
9387,functional
9392,non functional
9399,non functional
9402,functional
9415,functional
9416,functional
9418,non functional
9425,functional
9432,functional
9433,functional
9444,functional
9451,non functional
9453,functional
9456,functional
9460,non functional
9465,functional
9469,functional
9472,functional
9481,functional
9490,non functional
9498,functional
9501,non functional
9504,functional
9508,functional
9510,non functional
9519,non functional
9520,functional
9528,non functional
9530,functional
9531,functional
9532,non functional
9533,non functional
9536,functional
9543,functional
9555,functional
9557,non functional
9565,functional
9576,functional
9583,non functional
9587,non functional
9588,functional
9604,non functional
9607,functional
9610,functional
9612,non functional
9614,non functional
9615,non functional
9629,functional
9635,non functional
9641,functional
9642,functional
9646,functional
9651,functional
9652,functional
9653,functional
9665,functional
9675,functional needs repair
9682,functional
9684,non functional
9719,functional
9722,non functional
9726,functional
9731,non functional
9734,functional
9748,functional
9758,functional
9774,non functional
9785,functional
9802,functional
9816,functional
9820,non functional
9827,functional
9830,non functional
9832,functional
9834,functional
9840,non functional
9841,non functional
9854,non functional
9857,non functional
9864,functional
9865,functional
9877,functional
9879,non functional
9883,functional
9890,functional
9899,functional
9902,functional
9903,functional
9905,non functional
9913,functional
9917,functional
9922,functional
9931,non functional
9938,functional
9948,functional
9950,functional
9958,functional
9961,functional
9962,functional
9963,functional
9964,functional
9966,functional
9968,non functional
9969,functional
9971,non functional
9974,functional
9975,functional
9976,non functional
9984,functional
9988,non functional
9991,functional
9994,functional
10004,non functional
10007,functional
10014,functional
10021,non functional
10022,functional
10025,non functional
10027,non functional
10031,non functional
10034,non functional
10039,functional
10059,functional
10073,functional
10075,functional
10080,non functional
10081,functional
10083,non functional
10086,non functional
10088,non functional
10096,functional
10106,functional
10108,functional
10116,functional
10117,functional
10119,functional
10133,functional
10136,non functional
10150,non functional
10159,functional
10161,functional
10172,functional
10174,non functional
10177,functional
10187,functional
10188,functional
10193,functional
10202,non functional
10205,non functional
10208,functional
10215,functional
10216,non functional
10225,functional
10226,functional
10228,functional
10234,functional
10236,functional
10240,functional
10257,functional
10259,functional needs repair
10261,functional
10267,functional
10272,functional
10275,functional
10277,functional
10279,non functional
10284,non functional
10295,functional
10296,functional
10301,functional needs repair
10311,functional
10314,functional
10315,non functional
10319,functional
10328,functional
10329,functional
10331,functional
10333,functional
10335,non functional
10338,functional
10343,functional
10345,non functional
10346,functional
10351,non functional
10352,functional
10357,non functional
10361,functional
10363,non functional
10367,functional
10372,functional needs repair
10378,functional
10408,non functional
10413,functional
10414,functional needs repair
10426,functional
10431,functional
10433,non functional
10438,functional
10445,non functional
10451,functional
10455,non functional
10459,non functional
10460,non functional
10462,non functional
10470,functional
10483,functional
10484,non functional
10489,non functional
10490,non functional
10492,functional
10496,functional
10498,functional
10501,functional
10505,functional
10508,functional
10509,non functional
10512,non functional
10523,functional
10525,functional
10536,functional
10539,functional
10541,non functional
10548,non functional
10550,functional
10554,functional
10558,functional
10561,non functional
10598,functional
10603,functional
10616,non functional
10618,functional
10626,non functional
10638,functional
10643,functional
10646,non functional
10647,non functional
10656,functional
10658,functional
10664,functional
10668,functional
10671,functional
10683,non functional
10705,functional
10710,non functional
10713,functional
10716,non functional
10722,functional
10726,non functional
10738,functional
10753,functional
10760,functional
10762,non functional
10763,non functional
10767,functional
10772,functional
10776,non functional
10777,functional
10792,functional
10798,non functional
10808,functional
10816,functional
10824,functional
10827,functional
10830,functional
10833,non functional
10834,non functional
10842,non functional
10843,functional
10844,functional
10845,non functional
10850,non functional
10852,functional
10858,functional
10859,non functional
10861,non functional
10863,non functional
10865,non functional
10871,functional
10876,functional
10879,functional
10881,functional
10892,functional needs repair
10899,non functional
10905,functional
10911,non functional
10913,non functional
10915,functional
10920,functional
10924,non functional
10926,non functional
10927,non functional
10929,non functional
10936,functional
10946,functional
10948,functional
10963,functional
10967,non functional
10968,non functional
10971,functional
10978,functional
10981,functional
10986,functional
11014,non functional
11017,functional
11025,functional
11026,functional
11032,functional
11042,functional
11044,functional
11048,functional
11052,functional
11056,functional
11057,functional
11060,functional
11062,non functional
11068,functional
11070,functional
11075,functional
11086,non functional
11093,non functional
11095,functional
11104,functional
11105,functional
11108,functional
11109,non functional
11113,non functional
11135,functional
11150,functional
11151,functional
11158,functional
11159,non functional
11162,functional
11163,non functional
11170,functional
11171,functional
11172,functional
11175,functional needs repair
11176,non functional
11183,non functional
11188,functional
11193,non functional
11203,non functional
11205,functional
11206,non functional
11216,functional
11220,functional
11224,functional
11225,functional
11235,functional
11240,functional
11241,functional
11244,functional
11250,non functional
11253,functional
11257,non functional
11259,functional
11260,non functional
11270,functional
11280,functional
11286,functional
11289,non functional
11291,non functional
11300,non functional
11301,functional
11305,functional
11312,functional needs repair
11321,functional
11324,functional
11328,functional
11335,non functional
11340,non functional
11344,functional
11346,non functional
11347,functional
11353,functional
11357,non functional
11358,non functional
11365,non functional
11368,functional
11373,functional
11375,non functional
11376,functional
11383,non functional
11398,functional
11399,functional needs repair
