"bathrooms","bedrooms","created","description","display_address","latitude","longitude","price","street_address","interest_level","elevator","cats_allowed","hardwood_floors","dogs_allowed","doorman","dishwasher","no_fee","laundry_in_building","fitness_center","pre-war","laundry_in_unit","roof_deck","outdoor_space","dining_room","high_speed_internet","balcony","swimming_pool","new_construction","terrace","exclusive","loft","garden_patio","wheelchair_access","common_outdoor_space"
1.,2,"DateObject[{2016, 4, 22, 5, 57, 16}, ""Instant"", ""Gregorian"", -7.]","East Village is a great community with great people and offers a good of resources. These include great bars, restaurants, prime shops, nice parks to job or just hang out.<br /><br />This spacious 2 bedroom come with the  following amenities...*Hardwood Floors*High Ceilings*Great Lighting*Marble Bathroom*Granite Kitchen<p><a  website_redacted","1st Ave.",40.7305,-73.983,3650,"214 1st Ave.","low",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.,1,"DateObject[{2016, 4, 19, 3, 36, 28}, ""Instant"", ""Gregorian"", -7.]","*Location: Thayer St. &amp; Broadway, Manhattan*This phenomenally priced, large 1 bedroom apartment is such an amazing find. Great Size and Awesome Neighborhood. You simply have to see it! Contact me to for a viewing:  kagglemanager@renthop.com OR  391-174-0575*The Apartment:-Spacious and sunny kitchen-Extra dining area-Huge separate living room w/ bright windows-King sized bedroom w/ closet-Coat closet in entryway-Beautiful Hardwood Floors-Full-sized Bathtub-Lovely building lobby w/ elevator*The Neighborhood:-1 Block from the A train-3 Blocks to the 1 Train-Starbucks, Tryon Public House, The Park View, Mamasushi and tons of other great restaurants, bars and coffee shops in the neighborhood.-Close proximity to groceries, laundry, banks, gyms and other conveniences-1 Block from beautiful Fort Tryon Park and The Clositers-Inwood Farmer's Market and Hudson River jogging/ bike path minutes away*Contact me to get in on this amazing deal!Marie Maucort kagglemanager@renthop.com to see MORE???I can show you any apartment on our website: www.bohemiarealtygroup.comLiving in Upper Manhattan has never been more exciting... LET'S GET STARTED!**Applicants should have GOOD credit and an annual income of at least 40x the monthly rent**","Thayer St",40.8643,-73.928,1695,"98 Thayer St","low",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.,4,"DateObject[{2016, 4, 20, 4, 0, 32}, ""Instant"", ""Gregorian"", -7.]","","West 106th Street",40.7999,-73.9638,5000,"127 West 106th Street","low",0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.,1,"DateObject[{2016, 4, 9, 3, 49, 42}, ""Instant"", ""Gregorian"", -7.]","","1st Avenue",40.7328,-73.9799,3973,"272 1st Avenue","low",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.,3,"DateObject[{2016, 4, 12, 2, 39, 45}, ""Instant"", ""Gregorian"", -7.]","BEAUTIFUL 2 BEDROOM POSSIBLE CONVERSION INTO THREE BEDROOM; Newly renovated two bedroom apartment. Gourmet kitchen equipped with premium cabinetry, granite counter-tops and stainless steel appliances including dishwasher and microwave. WOOD-BURNING FIREPLACE; Extra closet space;FEATURES*Caesarstone Countertops*Dishwasher*Gas Fireplace*Great Closets*Hardwood Floors*High Ceilings*Microwave*Premium Cabinets this great amount of new space is a must see,View this specific apartment 7 days a week from 10-8:30pm with a 24 hours notice. For the best apartment match up, kindly email me what you would like in your ideal new home and make sure your moving date is less then a month away. P To schedule now an exclusive appointment to view this apartment reach me Tuval Mor by EMAIL , CALL OR TEXT. @All pictures are copyright protected, all rights reserved to Tuval Mor.<br /><br />Bond New York is a real estate broker that supports equal housing opportunity.<p><a  website_redacted","Madison Avenue",40.7454,-73.9845,4395,"121 Madison Avenue","low",1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.,2,"DateObject[{2016, 4, 7, 2, 11, 45}, ""Instant"", ""Gregorian"", -7.]","No fee huge two bedroom apartment. Great location 3rd, close to NYU Medical Center. Beautiful true 2 bedroom apartment, renovated with AC, hardwood floor, new marble bathroom and great view of NY. Elevator building features laundry room and on-site garage.  Call or Email to view!","E 30th St,",40.7427,-73.9794,2999,"210 E 30th St,","medium",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.,1,"DateObject[{2016, 4, 13, 5, 17, 43}, ""Instant"", ""Gregorian"", -7.]","","East 35th Street",40.7447,-73.9741,2595,"326 East 35th Street","low",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.,1,"DateObject[{2016, 4, 17, 2, 26, 52}, ""Instant"", ""Gregorian"", -7.]","CooperCooper.com :: Web ID #179546; Access 1000s of Unique Listings Online; APARTMENT FEATURES: Washer/Dryer, Dishwasher, Granite Kitchen, High Ceilings, Central A/C, Wood Floors; BUILDING AMENITIES: Rental, Post-War, Hi-Rise, Doorman, Concierge, Elevator, Gym, Swimming Pool, Laundry Room, Roof Deck, Pets Allowed, Bike Room, Business Center, Lounge, Children's Playroom; AREA/NEIGHBORHOOD: Gristedes, Rite Aid, Access to the X15,M22 Buses, Access to 2/3/4/5/6/N/R/J/Z, East River Bikeway, South Street Seaport, Whole Foods Market; CONTACT US: For more information or to schedule a viewing, call Cooper &amp; Cooper at 000-420-2751 or email: kagglemanager@renthop.com; HELPFUL LINKS: Find A C&amp;C Associate - CooperCooper.com/Associates; Search 1000s Of Apartments - CooperCooper.com/SearchRentals; Attend Our Next Buying Seminar - CooperCooper.com/BuyingSeminar; Read Reviews - CooperCooper.com/Testimonials","Liberty Street",40.7074,-74.0081,3695,"10 Liberty Street","low",1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2.,4,"DateObject[{2016, 6, 7, 4, 39, 56}, ""Instant"", ""Gregorian"", -7.]","SPRAWLING 2 BEDROOM FOUND! ENJOY THE LUXURY OF A FULL SERVICE DOORMAN, RESIDENTIAL ROOF DECK, GYM & LAUNDRY. LIVE-IN SUPER TO ACCOMMODATE 24/7! ENJOY SHOPPING, AMAZING RESTAURANTS, FUN BARS, EASY TRANSPORTATION! SUBWAYS JUST FOOT STEPS AWAY!<br /><br />SPRAWLING 4 BEDROOM WITH A 2 FULL BATHROOMS & GREAT NATURAL LIGHT - GOURMET KITCHEN EQUIPPED WITH BRAND NEW APPLIANCES, PLENTY OF COUNTER & CABINET SPACE - FULL SIZED MARBLE BATHROOMS - KING SIZED BEDROOMS EQUIPPED WITH A LARGE CLOSET & FLOOR TO CEILING WINDOWS - SPACIOUS LIVING & DINING AREA EQUIPPED WITH A HUGE CLOSET & FLOOR TO CEILING WINDOWS - SUPER HIGH CEILINGS!<br /><br />**LET YOUR SEARCH ENDS HERE!** **GUARANTORS WELCOME!!**<br /><br />I SPECIALIZE IN THIS AREA AND I COVER ALL NO FEE BUILDINGS. FOR AN EXCLUSIVE TOUR TO TEXT EMAIL OR CALL. 278-560-8597 kagglemanager@renthop.com<p><a  website_redacted","W 18 St.",40.7391,-73.9936,7400,"30 W 18 St.","medium",1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0
3.5,4,"DateObject[{2016, 4, 27, 6, 43, 40}, ""Instant"", ""Gregorian"", -7.]","Amazing 4 bedroom convertible. Remarkably luxurious on high floor with incredible city and river views. Top of the line stainless steel kitchen with dining room attached. 30 foot living room!! Large and spacious king sized bedrooms. Marble bathrooms, ample closet space throughout. Washer and dryer in unit. TONS of natural sunlight from high floor and eastern and southern exposures.<br /><br />New and impressive building. Full service staff including doorman, concierge, management, and garage attendants all 24 hours 7 days a week. Full gym, children s play room, tenants lounge and conference room and beautiful landscaped roof top deck.<br /><br />DO NOT MISS OUT ON THIS DEAL!!!<br /><br />TO VIEW CALL TAL @ 516 603 kagglemanager@renthop.com<p><a  website_redacted","East 56th",40.7584,-73.9653,7500,"310 East 56th","low",1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0
1.,1,"DateObject[{2016, 4, 25, 2, 29, 50}, ""Instant"", ""Gregorian"", -7.]","Don't miss out on this fantastic apartment....Spacious 1Bdr for an affordable price!Bright, Sunny, Renovated with new appliances and recessed lighting. Spacious 1bdr with very nice layout!!! Great Closet Space!!! WHY PAY OTHER BROKERS 15% FOR A GREAT APARTMENT WHEN YOU CAN PAY 7.5% FOR THE SAME SPACE WITH EXCELLENT CUSTOMER SERVICE?CALL ME NOW: 079-777-0601<br /><br /><br /><br /><br /><br /><p><a  website_redacted","E 81st St.",40.7728,-73.9502,2295,"444 E 81st St.","medium",0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.,1,"DateObject[{2016, 4, 22, 5, 39, 10}, ""Instant"", ""Gregorian"", -7.]","The TRUE 1 bedroom apartment features extra large windows that emitt tons of sun light throughout the day, an incredibly spacious living area,  an beautiful modern kitchen with the latest appliances, and more. Laundry on every floor.<br /><br />Located minutes away from Central Park/Columbus Circle. Gorgeous technologically energy efficient and environmentally capable building with full luxury concierge doorman service. Three level fitness center, residential lounge, personal assistant, and a gorgeous roof-deck with Hudson River views are just some of the unique features of this building.<br /><br />Call or Text Jonathan Choi to schedule a viewing anytime.<br /><br /><br /><br /><br /><br /><p><a  website_redacted","West 57th Street",40.7709,-73.9917,3164,"601 West 57th Street","low",1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1.,1,"DateObject[{2016, 4, 21, 5, 27, 10}, ""Instant"", ""Gregorian"", -7.]","Currently under renovation, this one bedroom is going to be beautiful.<br /><br />Call or text us to set up your personal tour today!<br /><br /><br /><br />","1215 Morris Avenue",40.8335,-73.9141,1350,"1215 Morris Avenue","high",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.,2,"DateObject[{2016, 4, 26, 2, 59, 37}, ""Instant"", ""Gregorian"", -7.]","Gut Renovated Apartment with Stainless steel appliances, Natural maple shaker kitchen cabinets with granite counter-tops and floor, Marble tiled bathroom.<br /><br />Luxury building with 24-hour doorman, laundry facility.<br /><br />To see this apartment or to discuss your search please call, text or email me kagglemanager@renthop.com 516-548-7452<br /><br /><p><a  website_redacted","E 79th St.",40.7716,-73.9506,5600,"435 E 79th St.","low",1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.,0,"DateObject[{2016, 4, 21, 2, 17, 28}, ""Instant"", ""Gregorian"", -7.]","Enjoy the Upper West Side life-style!  This apartment is ideally configured as a junior one bedroom with a separate home office.  Located in a pre-war condominium building on a lovely tree-lined street, it is just west of Broadway and convenient to all transportation choices.<BR><BR>This home has large windows facing 88th Street, allowing a lot of light to fill the living space.  A separately designed sleeping area plus a home office offer much flexibility.  The large kitchen is well-equipped with a full-size gas range and oven, dishwasher and an all-in-one washer dryer unit.  The apartment has been recently upgraded with new wooden floors and a fully renovated bath.<BR><BR>""""The Central"""" provides a variety of amenities to its residents including a full-time doorman, live-in super, a bike room and a central laundry room.  It is convenient to both Riverside Park and Central Park and is surrounded by an array of retail shops, restaurants, entertainment venues and services.  Come see for yourself!  (Apologies but pets aren't permitted.  This is also a non-smoking building.)<br><p><img src= """" website_redacted width=""""1"""" height=""""1"""" /><ul><li><a target=_blank href= website_redacted (Nancy) Lorraine Baker for more information</a> </li><li><a target=_blank href= website_redacted full listing information on elliman.com</a> </li></ul></p>","250 West 88th Street",40.7897,-73.976,2750,"250 West 88th Street","medium",1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.,2,"DateObject[{2016, 4, 4, 4, 10, 1}, ""Instant"", ""Gregorian"", -7.]","--Prime location of the Upper West Side, this gorgeous building nearby TONS of the finest restaurants, shops, beauty salon and groceries stores will be perfect to live in. Baby steps from Central Park !! A full time Doorman and a renovated lobby to make the tenants' life much better. You will also find the private residential courtyard as well as the laundry in the building.**<br /><br />*** WOW *** Exquisite, fabulous, stunning HUGE JUNIOR 4 - 1 bedroom - convertible to 2 bed, with spacious balcony for breakfast, lunch and dinner with friends when the weather allows it! Brand New Granite Open Kitchen - Dishwasher -  Picturesque view! Brand new Hardwood floor! Lots of closets all over the unit - Sun-filled **<br /><br />--CONTACT NOW:- SIMON M. (085-339-4093 O: (085-339-4093 kagglemanager@renthop.com<br /><br /><p><a  website_redacted","W 93 St.",40.7902,-73.9678,3500,"50 W 93 St.","medium",1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0
1.,1,"DateObject[{2016, 4, 22, 4, 58, 35}, ""Instant"", ""Gregorian"", -7.]","This apartment features south and west exposure with partial river views, a pass-through kitchen with dishwasher and granite countertops, and a walk-in closet. Some building amenities include a garage, pool, lounge, valet, and fitness center. All of this just steps away from Brookfield Place!","Chambers Street",40.7179,-74.0148,5165,"400 Chambers Street","low",1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.,2,"DateObject[{2016, 4, 20, 2, 43, 19}, ""Instant"", ""Gregorian"", -7.]","Prime location in the heart of Greenwich Village with full time doorman, laundry, elevator and pet friendly.<br /><br />Massive 2 bedroom apartment with dishwasher, eat-in kitchen, very high ceilings, ample closet space, lots of natural light, hardwood floor and much more. Must see to appreciate.<br /><br />To schedule a visit, please contact David at (167-773-6202 or email kagglemanager@renthop.com<br /><br /><p><a  website_redacted","Waverly Place",40.7301,-73.9942,4400,"11 Waverly Place","low",1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.,2,"DateObject[{2016, 6, 17, 3, 30, 24}, ""Instant"", ""Gregorian"", -7.]","This desirable apartment is located in Washington Heights near the trains, park and hospitals. The apartment features 2 bedrooms and a modern kitchen/living room layout. To see this great apartment and others on the market call Sandra Dor for a private showing. Thinking about purchasing a home? I can assist you with that as well.<br /><br />Bond New York is a real estate broker that supports equal housing opportunity.<p><a  website_redacted","W 171 Street",40.844,-73.9404,2300,"651 W 171 Street","low",1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.,1,"DateObject[{2016, 4, 18, 3, 34, 14}, ""Instant"", ""Gregorian"", -7.]","Located on 106th &amp; 2nd Ave. Trains: 6 at 110th {Photos of ACTUAL APARTMENT}FAB FEATURES INCLUDE: *1 Full Sized Room *An Abundance of Sunlight *Windowed bathroom *Pets OK-Yay! Don't let this or any other apartment in NYC be the &quot;one that got away&quot; Keep in touch and set up a tour of your future home with me ASAP! I am the key to unlocking your next &amp; best move. URGENCY is of the UTMOST IMPORTANCE especially in the NY market, as you read this, someone else may be viewing it &amp; falling in love.. CALL or TEXT MICHAELA BOYD at {856-144-5107} EMAIL {kagglemanager@renthop.com} ** Applicants should have GOOD credit and make 40Xs the Monthly rent OR have a Guarantor who has GOOD credit and makes 80Xs the Monthly rent!** Michaela Boyd/ Licensed Real Estate Salesperson MOBILE: 856-144-5107 EMAIL: kagglemanager@renthop.com - See more at:  website_redacted","East 106 Street",40.79,-73.9418,1650,"312 East 106 Street","low",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.,0,"DateObject[{2016, 4, 4, 3, 47, 57}, ""Instant"", ""Gregorian"", -7.]","Location: 141st St. and Malcolm X BlvdSubway: 2/3Call or Email Jared and Schedule a Showing TODAY!!(023-574-8109 &lt;&gt; kagglemanager@renthop.com PLACE: (*Actual Apartment Photos*)- Hardwood Floors- Super CozyTHE BUILDING:- Well Maintained Prewar Building- Pets Ok, Case-By- Case- Close to 2/3 Express Subway, Associated, IHOP (Cause who doesn't love PANCAKES!?!)*With the vacancy rate in the city at 1%, this is a highly competitive market that moves very quickly. If you fall in love with an apartment and have your financials in order, I can take it off the market for you immediately while your application is pending!*I have SEVERAL listings to fit any lifestyle.Give me a call and find out why UPTOWN is the place to be! Call or Email Jared and Schedule a Showing TODAY!!(023-574-8109 &lt;&gt; kagglemanager@renthop.com","West 141st Street",40.8184,-73.9389,1300,"111-115 West 141st Street","low",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
